_id,play,video_summary,subcategory,subcategory_perspective
673310357674d968477b65d3,https://strgmcmcradar.blob.core.windows.net/videos/7405166032014298384.mp4,"A TikTok video shows a scenic ocean view at dusk, followed by a series of images of a man on a boat and riding a horse in the water, displayed on a cell phone.","Ocean Views, Water Sports, Mobile Device Usage","Here is the response:, , Racist Imagery, Sexist Undertones, Homophobic Symbolism"
6733103a7674d968477b65ea,https://strgmcmcradar.blob.core.windows.net/videos/7371398327872670992.mp4,"A man with a beard showcases various objects and expressions, including holding a blue object, a cell phone, and a sign, while also pointing at a computer screen and giving a thumbs up.","Facial Hair, Hand Gestures, Object Manipulation","Racist Gestures, Threatening Messages, Inciting Violence"
6733103f7674d968477b65f6,https://strgmcmcradar.blob.core.windows.net/videos/7413342842971573511.mp4,"The video features various scenes of children playing, riding bikes, and skateboarding, interspersed with shots of a person speaking in Malay, encouraging someone to try karate.","Sports, Children's Activities, Martial Arts","Incitement to Violence, Ethnic Targeting, Aggressive Language"
673310417674d968477b65fd,https://strgmcmcradar.blob.core.windows.net/videos/7411570273322880263.mp4,"A woman in a white shirt and brown pants is shown in various poses, interspersed with a man in a suit and helmet, and scenes of people taking selfies in a bathroom.","Fashion, Portraits, Selfies","Objectification, Stereotyping, Discrimination"
673310437674d968477b660e,https://strgmcmcradar.blob.core.windows.net/videos/7394081396223986952.mp4,"A woman is shown taking selfies, holding a stuffed animal, and using a cell phone and camera to capture various moments, including photos of herself and a toy.","Photography, Self-Portraits, Toy Collecting","Objectification, Stereotyping, Cyberbullying"
673310457674d968477b6613,https://strgmcmcradar.blob.core.windows.net/videos/7419385150745611538.mp4,"A woman works out in a gym, doing various exercises including bench presses and squats with a barbell, while a person referred to as ""araffe"" is also shown lifting weights.","Fitness Training, Gym Equipment, Weightlifting Exercises","Sexist Slurs, Racist Remarks, Homophobic Insults"
673310487674d968477b6626,https://strgmcmcradar.blob.core.windows.net/videos/7397732784766192897.mp4,"A man and woman interact in various settings, including a bookstore and a store, with the man often wearing a blue face and a chain around his neck, and the woman in different outfits.","Human Interaction, Fashion and Accessories, Retail Settings","Stereotyping, Symbolism, Provocation"
673310497674d968477b662b,https://strgmcmcradar.blob.core.windows.net/videos/7402528319385685256.mp4,"A woman in various costumes, including a bunny onesie, is shown in different settings, such as a hospital room and a room with a purple chair, engaging in various activities.","Costumed Characters, Varied Settings, Unconventional Activities","Stereotype Reinforcement, Discriminatory Imagery, Offensive Portrayals"
6733104b7674d968477b6632,https://strgmcmcradar.blob.core.windows.net/videos/7431741815067315464.mp4,"Three people in white costumes are shown standing and walking in various nighttime locations, including fields and sidewalks, with slight variations in their attire and surroundings.","Visual Arts, Performance Art, Fashion Design","Racist Imagery, Inciting Violence, Stereotyping Groups"
6733104d7674d968477b6638,https://strgmcmcradar.blob.core.windows.net/videos/7372708206587432210.mp4,"A series of shots show a woman wearing different outfits, including a brown scarf and glasses, holding various items such as a book, a purple knife, and pieces of paper.","Visual Content, Fashion Elements, Props and Accessories","Inciting Violence, Discriminatory Imagery, Threatening Symbols"
6733104f7674d968477b6640,https://strgmcmcradar.blob.core.windows.net/videos/7408568171931634952.mp4,"The video showcases various poses of a woman wearing different purple satin outfits, including shirts, jackets, and scarves, while occasionally interacting with the camera and making gestures.","Fashion Modeling, Purple Satin Clothing, Camera Interaction Poses","Objectification, Sexism, Misogyny"
673310507674d968477b6648,https://strgmcmcradar.blob.core.windows.net/videos/7403910242704067847.mp4,"A woman in various outfits, including a hijab, is shown engaging in different activities, such as holding objects and using a nail brush to apply a pink substance.","Fashion, Beauty, Cultural Diversity","Islamophobic Stereotypes, Racist Imagery, Misogynistic Undertones"
673310527674d968477b6652,https://strgmcmcradar.blob.core.windows.net/videos/7388536617419410689.mp4,"A woman with blue face paint is shown in various scenes, including talking on a phone, posing, and wearing a helmet, while a Malay song plays in the background, singing about a spirit and body.","Visual Arts, Cultural Expression, Music Videos","Ethnic Stereotyping, Cultural Insensitivity, Racial Mockery"
673310547674d968477b665c,https://strgmcmcradar.blob.core.windows.net/videos/7420106578319166741.mp4,"A user showcases four pictures of a motorcycle with different plans and labeled parts, providing a close-up view of the various components and plans, including plan c and plan d.","Motorcycle Components, Motorcycle Plans, Motorcycle Images","None Found, No Hate Speech, No Offensive Content"
673310567674d968477b666b,https://strgmcmcradar.blob.core.windows.net/videos/7427762383998782721.mp4,"A couple poses for a photo, then gets creative with gestures, and later gets painted blue, shares a romantic kiss, and ends up playing a video game together.","Creative Photography, Artistic Expression, Gaming Together","None, None, None"
673310587674d968477b6674,https://strgmcmcradar.blob.core.windows.net/videos/7414049507580628232.mp4,"A woman in a striped dress is shown walking down the street, standing in front of buildings, and talking on her cell phone, with close-up shots of her face and outfit.","Fashion, Urban Life, Mobile Technology","Objectification, Sexist Stereotypes, Misogynistic Undertones"
6733105a7674d968477b667a,https://strgmcmcradar.blob.core.windows.net/videos/7376977149049195784.mp4,"A person in a car with blue face paint is shown, followed by a woman with blue makeup, hat, and glasses, and various shots of people in cars with different accessories.","Vehicles, Cosmetics, Fashion Accessories","Racial Slurs, Ethnic Stereotypes, Cultural Insults"
6733105b7674d968477b6681,https://strgmcmcradar.blob.core.windows.net/videos/7406656904795114770.mp4,"A woman with blue paint on her face and body takes selfies, showcasing her creative makeup look, with some captions referring to her as having ""blue skin"" and wearing a white top.","Makeup Looks, Creative Selfies, Body Art","Racist Slurs, Ethnic Stereotypes, Cyberbullying"
6733105d7674d968477b6686,https://strgmcmcradar.blob.core.windows.net/videos/7377247647951867144.mp4,"A woman wearing a purple scarf and black jacket or hijab is shown in various poses, including giving the peace sign and holding a cell phone, with some captions referring to her as ""arafed.","Visual Portrayal, Symbolic Gestures, Cultural Representation","Islamophobic Slurs, Racist Captions, Inciting Violence"
6733105f7674d968477b668d,https://strgmcmcradar.blob.core.windows.net/videos/7409007335214943506.mp4,"A woman takes selfies in a mirror, but is occasionally replaced by a giraffe wearing different outfits, including a white suit, white shirt and gray pants, and a white jacket.","Visual Humor, Fashion Experimentation, Animal Representation","Species Mockery, Racial Undertones, Unsettling Imagery"
673310607674d968477b6691,https://strgmcmcradar.blob.core.windows.net/videos/7384683076678421776.mp4,"A person in a purple shirt and blue gloves is shown in various scenarios with others, including a woman and Avatar cosplayers, with close-ups of sunglasses and colorful outfits.","Fashion, Cosplay, Portraits","Racist Imagery, Homophobic Undertones, Xenophobic Symbolism"
673310627674d968477b66a2,https://strgmcmcradar.blob.core.windows.net/videos/7392541203398429953.mp4,"A woman wearing glasses and various head accessories, including a scarf, hood, and tie, is shown in different settings, including a table, car, and outdoors, with repeated shots of her face and outfits.","Fashion, Portraits, Accessories","Stereotyping, Prejudice, Discrimination"
673310637674d968477b66a6,https://strgmcmcradar.blob.core.windows.net/videos/7430869947699531015.mp4,"A crowd of people, some wearing masks, browse a tennis shoe store, with individuals kneeling or sitting on the floor, including a woman in a blue costume and a man in a black hoodie.","Retail Environment, Public Gathering, Casual Apparel Shopping","Racial Slurs, Homophobic Language, Anti-Semitic Remarks"
673310657674d968477b66b9,https://strgmcmcradar.blob.core.windows.net/videos/7413363641740758280.mp4,"A man upgrades his car's key to a push-start button at DNPK Design in Puchong, showcasing the process and recommending the service.","Automotive Customization, Car Accessory Upgrades, Vehicle Key Technology","## Step 1: Analyze the summary and perspective to identify potential subcategories., The summary describes a man upgrading his car's key to a push-start button at DNPK Design in Puchong, while the perspective is Hate Speech. There seems to be no direct connection between the two, but we can consider how hate speech might relate to car upgrades or services., , ## Step 2: Consider potential subcategories related to hate speech in the context of car upgrades., Given the lack of direct"
673310677674d968477b66be,https://strgmcmcradar.blob.core.windows.net/videos/7434103234236665104.mp4,"A woman with blue makeup and various accessories is shown in different scenes, including playing video games with a remote and holding a skateboard and purple objects.","Cosmetics, Gaming, Skateboarding","Stereotyping, Cyberbullying, Objectification"
673310697674d968477b66c5,https://strgmcmcradar.blob.core.windows.net/videos/7431482391761292545.mp4,"A man and woman sit on a pile of tires in a garage, followed by scenes of a woman cutting a cake, wearing different hats, and a girl with a skateboard and helmet.","Garage Setting, Cake Celebration, Skateboarding Activity","None, None, None"
6733106b7674d968477b66cd,https://strgmcmcradar.blob.core.windows.net/videos/7431826057969339649.mp4,"A person in blue makeup and costume is shown in various scenes, including holding eggs, shopping, and interacting with others, while a voiceover discusses buying eggs and other items.","Costumed Character, Everyday Activities, Shopping Experience","Stereotyping, Racial Slurs, Discriminatory Humor"
6733106d7674d968477b66d3,https://strgmcmcradar.blob.core.windows.net/videos/7391800694589771016.mp4,"Workers in various factory settings are shown operating on conveyor belts, wearing green belts, lab coats, and gloves, with some images appearing distorted or ""arafed,"" possibly for artistic effect.","Factory Settings, Industrial Safety Gear, Distorted Imagery","Factory Stereotypes, Racial Profiling, Occupational Prejudice"
6733106e7674d968477b66da,https://strgmcmcradar.blob.core.windows.net/videos/7393635289031265544.mp4,"A man in a white shirt and black pants takes multiple selfies in various locations, including a public restroom, while a woman with blue makeup and different hats appears in some shots.","Photography, Fashion, Portraits","Racist Undertones, Sexist Portrayals, Homophobic Inferences"
673310707674d968477b66e6,https://strgmcmcradar.blob.core.windows.net/videos/7397313972774505729.mp4,A woman with blue eyes and a scarf on her head is shown holding a remote control and sitting on a couch with varying makeup and expressions.,"Facial Expressions, Makeup Variations, Home Entertainment Setup","Stereotyping, Racial Slurs, Xenophobic Imagery"
673310737674d968477b66f2,https://strgmcmcradar.blob.core.windows.net/videos/7420339017377500424.mp4,"A couple dressed as Avatar characters with blue face paint pose for photos and selfies, showcasing their creative costumes and playful interactions.","Cosplay, Avatar Costumes, Creative Photography","Racial Slurs, Cultural Appropriation, Ethnic Stereotyping"
673310757674d968477b6707,https://strgmcmcradar.blob.core.windows.net/videos/7391452667752516871.mp4,"A woman with blue makeup poses for pictures in various outfits, including black tops, a purple scarf, and a hijab, showcasing different looks and styles throughout the video.","Fashion Photography, Cultural Expression, Beauty Trends","Islamophobia, Racial Slurs, Cultural Insults"
673310787674d968477b6714,https://strgmcmcradar.blob.core.windows.net/videos/7390401053457435922.mp4,"A woman reviews a restaurant near Pot Mills, Kuala Lumpur, praising its bright and spacious atmosphere, affordable prices, and delicious food options, including ayam kicap sambal kece and keju manis.","Food Quality, Restaurant Ambiance, Price Affordability","None, None, None"
6733107a7674d968477b671a,https://strgmcmcradar.blob.core.windows.net/videos/7382188742703959304.mp4,"A person wearing glasses and various outfits, including a scarf, white robe, and hoodie, is shown in close-up shots, with some instances of blue face paint.","Visual Appearance, Fashion Elements, Facial Features","Racial Slurs, Anti-Semitic Imagery, Inciting Violence"
6733107c7674d968477b6722,https://strgmcmcradar.blob.core.windows.net/videos/7421463204997418241.mp4,"The video showcases a person wearing a purple dress and scarf, with close-up shots highlighting the outfit and accessories, including a name tag and blue makeup.","Fashion, Beauty, Costume Design","Targeted Insults, Bigoted Commentary, Discriminatory Language"
6733107e7674d968477b6727,https://strgmcmcradar.blob.core.windows.net/videos/7378469224269810960.mp4,"A woman with blue makeup and various accessories, including a cat pillow and scarf, is shown in different poses and outfits, including a hijab, with a stuffed animal as a prop.","Fashion Photography, Cultural Expression, Portraiture with Props","Islamophobia, Racist Stereotypes, Cultural Mockery"
673310807674d968477b6734,https://strgmcmcradar.blob.core.windows.net/videos/7431927581437365521.mp4,"A woman with glasses poses for pictures, switching between a blue shirt with a green skirt and a green dress, showcasing different outfits and expressions.","Fashion Photography, Portrait Photography, Wardrobe Styling","None, None, None"
673310817674d968477b6740,https://strgmcmcradar.blob.core.windows.net/videos/7382522404943219984.mp4,"A woman with the name ""Arafed"" is showcased in various outfits and costumes, including a blue costume, green shirt, and black hoodie, often wearing glasses or holding a cell phone.","Fashion Modeling, Costume Portraits, Personal Style Expression","Racial Slurs, Sexist Remarks, Homophobic Insults"
673310837674d968477b675f,https://strgmcmcradar.blob.core.windows.net/videos/7400410061148867858.mp4,"A person is shown in various poses, sometimes laying on a bed, with a focus on their scarf and occasionally a cell phone, while a song plays with lyrics expressing the desire for honesty over wealth.","Visual Arts, Music, Emotional Expression","Provocative Imagery, Misogynistic Lyrics, Inciting Violence"
673310857674d968477b676a,https://strgmcmcradar.blob.core.windows.net/videos/7425147609339153671.mp4,"A couple, dressed as Avatars, is seen standing in a parking lot and in front of a building with cars, occasionally using their cell phones, in a series of repetitive scenes.","Avatar Costumes, Parking Lot Scenes, Cell Phone Use","Racist Costumes, Ethnic Stereotypes, Cultural Appropriation"
673310877674d968477b6771,https://strgmcmcradar.blob.core.windows.net/videos/7405899105978895623.mp4,"A series of photos and scenes show people, mostly women and children, wearing white hoodies, hijabs, or robes, engaging in everyday activities like eating, using a laptop, or sitting on a rug.","Cultural Portrayals, Religious Attire, Everyday Life Scenes","Islamophobia, Racist Stereotypes, Xenophobic Imagery"
6733108a7674d968477b6787,https://strgmcmcradar.blob.core.windows.net/videos/7417381951146872072.mp4,"A person with a blue face and glasses is shown in close-up shots, with the camera focusing on their face and expression, occasionally switching to a woman with similar blue makeup.","Visual Effects, Facial Expressions, Makeup Design","Inciting Violence, Racial Slurs, Xenophobic Imagery"
6733108d7674d968477b6793,https://strgmcmcradar.blob.core.windows.net/videos/7433686277557325074.mp4,"A woman is shown sitting and standing in front of a whiteboard, at times resting her head in her hands, and later appears with blue makeup or paint on her face and hands.","Facial Expression, Body Posture, Artistic Makeup","Racist Symbolism, Facial Profanity, Discriminatory Imagery"
673310917674d968477b67a3,https://strgmcmcradar.blob.core.windows.net/videos/7405909891480620295.mp4,"Two men are in the water, initially with no shirts on, then with eyes closed, and eventually with blue paint on their faces, making various gestures including peace signs and thumbs up.","Human Behavior, Body Art, Nonverbal Communication","Racist Gestures, Provocative Behavior, Inciting Violence"
673310947674d968477b67bb,https://strgmcmcradar.blob.core.windows.net/videos/7370256709958274322.mp4,"A series of scenes depict people receiving medical treatments, massages, and examinations, interspersed with individuals in blue body paint engaging in various activities.","Medical Procedures, Alternative Therapies, Performance Art","Racial Slurs, Ethnic Stereotypes, Cultural Insensitivity"
673310987674d968477b67c5,https://strgmcmcradar.blob.core.windows.net/videos/7401825974276410631.mp4,"The video showcases various everyday items, including ice cream, soap, and milk, with images of children and adults, set against colorful backgrounds, likely promoting a brand called Planta.","Advertising, Food Products, Household Essentials","None, None, None"
67355b8c7674d968477cf9ec,https://strgmcmcradar.blob.core.windows.net/videos/7368499706965658898.mp4,"Unfortunately, there is no content provided for translation or summarization. Please provide the necessary information for assistance.",", , ",(Please provide the necessary information for assistance)
67355b8e7674d968477cf9f2,https://strgmcmcradar.blob.core.windows.net/videos/7366564094645701895.mp4,"A man with blue skin and face paint is shown in various scenarios, including eating, dancing, and interacting with a blue sports car, interspersed with unrelated images of money, buildings, and a boat.","Blue-skinned Character, Unrelated Imagery, Various Scenarios","Racist Imagery, Stereotypical Portrayal, Cultural Insensitivity"
67355b917674d968477cfa07,https://strgmcmcradar.blob.core.windows.net/videos/7303868929510755602.mp4,"A person is shown in various settings, including a bed, a room with a cat, a train, and a pool, with multiple scenes of them using a computer, phone, or engaging in leisure activities.","Computer Usage, Leisure Activities, Various Settings","Cyberbullying, Online Harassment, Digital Hate Crimes"
67355b967674d968477cfa36,https://strgmcmcradar.blob.core.windows.net/videos/7290074542981008648.mp4,"The video features a series of unrelated scenes, including people using technology, riding vehicles, and engaging in everyday activities, with a focus on hands and objects in various settings.","Technology Use, Vehicle Transportation, Everyday Activities","Provocative Gestures, Object Manipulation, Symbolic Imagery"
67355b9e7674d968477cfa57,https://strgmcmcradar.blob.core.windows.net/videos/7347379509877951752.mp4,"The video shows a man sitting at a desk in a room with various settings, including a window, office, and TV, with the room's layout and furniture changing throughout the video.","Room Settings, Furniture Layout, Environmental Changes","Stereotyping, Profanity, Incitement"
67355ba47674d968477cfa62,https://strgmcmcradar.blob.core.windows.net/videos/7347000293386685704.mp4,"A blue sports car is showcased in various settings, including a garage and city streets, with a person driving it and interacting with the dashboard, highlighting the car's features.","Vehicle Features, Urban Driving, Automotive Technology","None Found, • None Found, • None Found"
67355bab7674d968477cfa84,https://strgmcmcradar.blob.core.windows.net/videos/7346625381182622984.mp4,"A man is shown in various settings, including a bathroom and a pool, before transitioning to a garage with multiple luxury cars, including several blue Lamborghinis.","Luxury Vehicles, Wealthy Lifestyle, High-End Settings","Racist Undertones, Sexist Overtones, Classist Messaging"
67355bb47674d968477cfa95,https://strgmcmcradar.blob.core.windows.net/videos/7346496332158323975.mp4,"A man is shown in various everyday situations, such as watching videos, playing video games, and relaxing, with quotes appearing on the computer screen throughout the video.","Digital Entertainment, Relaxation Techniques, Inspirational Quotes","Cyberbullying, Online Harassment, Toxic Gaming Communities"
67355bb77674d968477cfa9d,https://strgmcmcradar.blob.core.windows.net/videos/7345311106321124615.mp4,There is no content provided for translation or summarization. Please provide the necessary text for assistance.,", , ",(Please provide the summary text so I can assist you with the task.)
67355bba7674d968477cfaac,https://strgmcmcradar.blob.core.windows.net/videos/7344321576730512658.mp4,"The speaker emphasizes the importance of perseverance, stating that while plans may need to be adjusted, one's ultimate goal should remain unchanged and be pursued with determination.","Goal Setting, Perseverance, Determination","Resilience to Harassment, Adapting to Backlash, Unwavering Conviction"
67355bbd7674d968477cfabf,https://strgmcmcradar.blob.core.windows.net/videos/7340165963641343234.mp4,"A man confronts someone, warning them to keep quiet and not speak about him, while also inquiring about someone named Noah and preparing to leave, using aggressive language throughout.","Threats, Aggressive Behavior, Interrogation","Threats of Violence, Aggressive Language, Intimidation Tactics"
67355bc07674d968477cfac5,https://strgmcmcradar.blob.core.windows.net/videos/7337944481834044673.mp4,There is no content provided for translation or summarization. Please provide the necessary content for assistance.,"* No Content, * Missing Information, * Unavailable Data",Please provide the necessary content for assistance. I'll be happy to help once I receive it.
67355bc57674d968477cfad2,https://strgmcmcradar.blob.core.windows.net/videos/7336139512914939144.mp4,"The speaker expresses their affection, enjoying gentle moments and making their partner smile, and would give anything to have them by their side, allowing them to love and care for them.","Emotional Connection, Romantic Affection, Intimacy Desire","None of the above, Not applicable, No hate speech detected"
67355bcb7674d968477cfaec,https://strgmcmcradar.blob.core.windows.net/videos/7336097403939982599.mp4,"A man shares motivational advice, urging viewers to focus and work diligently, ignoring distractions, to prove their capabilities to themselves and then showcase their accomplishments to the world.","Personal Development, Goal Achievement, Self Motivation","Inciting Motivation, Suppressing Criticism, Provoking Competition"
67355bd17674d968477cfb04,https://strgmcmcradar.blob.core.windows.net/videos/7336064040906673415.mp4,"A man sits at a desk in various rooms with changing backgrounds, including an office, a room with a window, and a room with a TV and computer.","Indoor Settings, Office Environment, Domestic Space","Inciting Violence, Racial Slurs, Online Harassment"
6735b7977674d968477dd117,https://strgmcmcradar.blob.core.windows.net/videos/7382542516014435601.mp4,"The video explains how foreign exchange works using a simple example of exchanging Malaysian ringgit for US dollars for travel, demonstrating how exchange rates can result in gains or losses.","Currency Exchange, Travel Finance, Exchange Rates","None, None, None"
6735b79a7674d968477dd151,https://strgmcmcradar.blob.core.windows.net/videos/7392966029216926983.mp4,"A woman stands in front of a neon sign, holding a cell phone, as she discusses the all-time high price of gold in 2024, citing war, financial crisis, and the US election as contributing factors.","Gold Prices, Global Economic Factors, Current Events Analysis","Incendiary Rhetoric, Divisive Politics, Xenophobic Sentiment"
6735b79e7674d968477dd163,https://strgmcmcradar.blob.core.windows.net/videos/7372508345854414081.mp4,"A woman shares her story of starting a business due to financial needs, discovering Forex through YouTube, and now wants to give back by educating others on Forex trading.","* Forex Trading Education, * Entrepreneurial Motivation, * Personal Finance Management","Here is the response:, , , None found in the context of hate speech."
6735b7a37674d968477dd178,https://strgmcmcradar.blob.core.windows.net/videos/7390579094292876552.mp4,"A woman celebrates a successful investment, excitedly sharing her profit with her students, and announces she'll withdraw and take her family on a trip to Bali.","Investment Success, Financial Gain, Vacation Planning","None found in this context, Not applicable in this scenario, No hate speech present"
6735b7a87674d968477dd18c,https://strgmcmcradar.blob.core.windows.net/videos/7399861627127860488.mp4,"A person appears to be live-streaming a financial update in a home office setting, sharing market trends and celebrating a successful trade with a profit of $200,000.","Financial News, Live Streaming, Trading Success Stories","Anti-Semitic Rhetoric, Racist Slurs, Homophobic Language"
6735b7ac7674d968477dd196,https://strgmcmcradar.blob.core.windows.net/videos/7402931218033003796.mp4,"A man shares tips on finding a safe and reliable Forex broker, warning against influencers' recommendations and emphasizing the importance of researching regulated brokers.","Forex Broker Selection, Avoiding Influencer Recommendations, Regulated Brokers Research","None, Misinformation, Manipulation"
6735b7ad7674d968477dd19c,https://strgmcmcradar.blob.core.windows.net/videos/7373380596594150664.mp4,"A man gives a speech in front of a crowd with flags, then the scene shifts to show stock market charts, people using computers, and ends with a person wearing a fake face on a screen.","* Stock Market, * Public Speaking, * Virtual Identity","Racist Rhetoric, Online Harassment, Cyberbullying Disguise"
6735b7af7674d968477dd1a4,https://strgmcmcradar.blob.core.windows.net/videos/7416228127505927432.mp4,"A man in a suit and tie gives a speech at a podium with flags behind him, followed by a shift in visuals displaying close-up shots of computer screens and financial charts.","Business Presentation, Financial Analysis, Corporate Event","Inciting Violence, Racist Rhetoric, Misinformation Campaigns"
6735b7b17674d968477dd1ac,https://strgmcmcradar.blob.core.windows.net/videos/7384407051662871824.mp4,"A trader explains how to time market entries correctly, using the example of gold prices, which tend to fluctuate at 8pm, and advises viewers to find setups between 8-10pm.","Market Timing Strategies, Gold Price Analysis, Entry Setup Identification","None, None, None"
6735b7b37674d968477dd1c1,https://strgmcmcradar.blob.core.windows.net/videos/7390316533852933383.mp4,"A laptop displays a car dashboard image while being moved from a car dashboard to a desk, with the song ""Stop Breaking My Heart"" playing in the background.","Computer Hardware, Automotive Interior, Music Entertainment","None of the above, No hate speech, No relevant content"
6735b7b67674d968477dd1cb,https://strgmcmcradar.blob.core.windows.net/videos/7428623935362567442.mp4,"A man sits at a desk with a computer, tracking his progress in a challenge to turn $100 into $10,000, with his current balance at $1,373.50.","Personal Finance, Financial Challenge, Online Trading",None.
6735b7b97674d968477dd1d3,https://strgmcmcradar.blob.core.windows.net/videos/7423711746835156240.mp4,"A man discusses the effectiveness of robot trading in forex, stating that these programs are often unreliable and can lead to losses due to their inability to adapt to changing market conditions.","Forex Trading Strategies, Limitations of Robot Trading, Market Volatility Risks","Anti-Technology Sentiment, Market Criticism, Algorithmic Bias"
6735b7bb7674d968477dd1d9,https://strgmcmcradar.blob.core.windows.net/videos/7389943395013217557.mp4,"A man is shown sitting at a desk with a laptop, playing video games in the dark, and standing in a room with a backpack, with a blue sign displaying $6,500 appearing at the end.","Gaming, Travel, Finance","Online Harassment, Cyberbullying Tactics, Toxic Gaming Communities"
6735b7bd7674d968477dd1e1,https://strgmcmcradar.blob.core.windows.net/videos/7384002670761086209.mp4,"A man shares his thoughts on permissible businesses in Islam, emphasizing that trading clothes is a suitable venture, while warning against engaging in haram activities.","Islamic Business Ethics, Permissible Business Ventures, Avoiding Haram Activities","Inciting Intolerance, Religious Discrimination, Ethnic Slurs"
6735b7bf7674d968477dd1eb,https://strgmcmcradar.blob.core.windows.net/videos/7393286343494782226.mp4,"The video discusses a forex trading strategy, specifically identifying a demand zone and waiting for confirmation before entering a trade.","Forex Trading Strategies, Demand Zone Identification, Trade Confirmation Techniques","None, None, None"
6735b7c27674d968477dd1f6,https://strgmcmcradar.blob.core.windows.net/videos/7387764546703756552.mp4,"A man shares two updates, one sad and one happy, in a video, discussing the end of his ""Beginner 101"" series and the upcoming ""Intermediate 101"" series on trading analysis.","* Trading Analysis, * Educational Content, * Series Updates","None, No Hate, No Offense"
6735b7c47674d968477dd209,https://strgmcmcradar.blob.core.windows.net/videos/7371204030342745365.mp4,"A man shares his experience using AI for trading signals, explaining how it provides real-time data and automatic trading.","AI Trading Signals, Real-Time Market Data, Automated Trading Systems","None, Misinformation, Market Manipulation"
6735b7c77674d968477dd212,https://strgmcmcradar.blob.core.windows.net/videos/7408904478470049031.mp4,"A trader shares his experience and techniques, stating he sticks to simple methods like SNR and multi-time frames, advising others to go back to basics.","Trading Strategies, Market Analysis Techniques, Simplification of Trading Methods","None Found, Not Applicable, Neutral Tone"
6735b7ca7674d968477dd21a,https://strgmcmcradar.blob.core.windows.net/videos/7388185778435771656.mp4,"A man is initially sitting alone watching TV, then another man joins, and they start playing a video game together in the living room.","Gaming, Social Interaction, Leisure Activities",", , "
