_id,sentiment,sentiment_score,sentiment_api,sentiment_api_score
6733107a7674d968477b671a,neutral,0.941723,Neutral,0.0
6733107c7674d968477b6722,neutral,0.920258,Neutral,0.0
6733107e7674d968477b6727,neutral,0.94911,Neutral,0.0
673310807674d968477b6734,neutral,0.935665,Neutral,0.0
673310817674d968477b6740,neutral,0.936423,Neutral,0.0
673310837674d968477b675f,neutral,0.947733,**Neutral**,0.0
673310857674d968477b676a,neutral,0.944823,Neutral,0.0
673310877674d968477b6771,neutral,0.949374,Neutral,0.0
6733108a7674d968477b6787,neutral,0.940336,Neutral,0.0
6733108d7674d968477b6793,neutral,0.958095,Neutral,0.0
673310917674d968477b67a3,neutral,0.955327,Neutral,0.0
673310947674d968477b67bb,neutral,0.964515,Neutral,0.0
673310987674d968477b67c5,neutral,0.941713,Positive,0.0
67355b8c7674d968477cf9ec,disappointment,0.478441,Negative,0.0
67355b8e7674d968477cf9f2,neutral,0.937232,Neutral,0.0
67355b917674d968477cfa07,neutral,0.956656,"Neutral

Reason: There is no emotional tone in this sentence. The subject matter",0.0
67355b967674d968477cfa36,neutral,0.916173,Neutral,0.0
67355b9e7674d968477cfa57,neutral,0.936984,Neutral,0.0
67355ba47674d968477cfa62,neutral,0.919618,Neutral,0.0
67355bab7674d968477cfa84,neutral,0.948308,Neutral,0.0
67355bb47674d968477cfa95,neutral,0.865842,Neutral,0.0
67355bb77674d968477cfa9d,neutral,0.827138,Neutral,0.0
67355bba7674d968477cfaac,approval,0.375167,Positive,0.0
67355bbd7674d968477cfabf,neutral,0.91255,Negative,67.58
67355bc07674d968477cfac5,neutral,0.779884,Neutral,80.97
67355bc57674d968477cfad2,love,0.765055,**Positive**,70.68
67355bcb7674d968477cfaec,neutral,0.80691,Positive,77.02
67355bd17674d968477cfb04,neutral,0.953297,Neutral,93.6
6735b7977674d968477dd117,neutral,0.837947,Neutral,82.55
6735b79a7674d968477dd151,neutral,0.956623,Neutral,90.17
6735b79e7674d968477dd163,neutral,0.873812,Positive,72.06
6735b7a37674d968477dd178,excitement,0.761733,Positive,80.94
6735b7a87674d968477dd18c,neutral,0.617197,Positive,78.63
6735b7ac7674d968477dd196,neutral,0.740165,Neural,1.79
6735b7ad7674d968477dd19c,neutral,0.920157,Neutral,83.27
6735b7af7674d968477dd1a4,neutral,0.942228,Neutral,90.32
6735b7b17674d968477dd1ac,neutral,0.926673,**Neutral**,60.23
6735b7b37674d968477dd1c1,neutral,0.93151,**Neutral**,57.63
6735b7b67674d968477dd1cb,neutral,0.953376,Neutral,89.94
6735b7b97674d968477dd1d3,neutral,0.74276,**Negative**,57.8
6735b7bb7674d968477dd1d9,neutral,0.959993,**Neutral**,53.37
6735b7bd7674d968477dd1e1,neutral,0.864463,Neutral,88.71
6735b7bf7674d968477dd1eb,neutral,0.940301,Neutral,91.46
6735b7c27674d968477dd1f6,neutral,0.786481,Neutral,88.23
6735b7c47674d968477dd209,neutral,0.91308,"**Neutral**

Note to respondents: please do not provide any reasoning or extraneous",8.01
6735b7c77674d968477dd212,neutral,0.919979,**Positive**,63.6
6735b7ca7674d968477dd21a,neutral,0.87574,Neutral,92.13
6735b7ce7674d968477dd227,neutral,0.955258,NEUTRAL,26.42
6735b7d17674d968477dd236,neutral,0.741525,Neutral,89.36
